LandSF,TotalFinishedArea,TotalAppraisedValue
5000.0,4080.0,155800.0
8400.0,4892.0,325400.0
9639.0,3619.0,198500.0
11250.0,972.0,105900.0
6250.0,978.00001,107200.0
7500.0,2796.0,157300.0
7750.0,3082.0,156600.0
6290.0,3672.0,171300.0
6250.0,1342.25,125100.0
6400.0,3080.0,179600.0
15360.0,2376.60001,251800.0
7130.0,2869.00001,175300.0
64075.0,120287.0,1614639.0
13325.0,3915.5,345700.0
5050.0,1260.0,146800.0
9000.0,3770.25,204200.0
5000.0,3912.0,182600.0
7140.0,2310.0,197800.0
7772.0,1502.85001,142900.0
5750.0,3542.0,207900.0
7400.0,2284.0,171400.0
5000.0,1041.60001,124000.0
6165.0,2889.0,195700.0
9500.0,1955.0,153200.0
8750.0,1086.0,132900.0
9000.0,2241.60001,165400.0
10272.0,2560.0,178900.0
7540.0,3406.0,354100.0
7650.0,1048.00001,131700.0
7500.0,1348.0,132700.0
8250.0,2608.5,203000.0
6750.0,1381.0,96000.0
6280.0,3110.40001,159100.0
4818.0,1850.00001,62400.0
8400.0,1184.0,111200.0
6625.0,1008.00001,105200.0
13780.0,1243.0,172700.0
5264.0,2626.0,154600.0
7500.0,3639.0,180500.0
5000.0,2834.0,183000.0
5000.0,1776.0,132500.0
4885.0,4398.0,165200.0
7250.0,3602.5,175100.0
1940.0,1716.0,83700.0
